LR,Heads,Embeddings,Block Size,Batch Size,Layers,Size,final_loss,total_training_time,Step 0 Loss,Step 100 Loss,Step 200 Loss,Step 300 Loss,Step 400 Loss,Generated Text
0.0006,1,64,32,32,2,"[1024, 86]",2.4385900497436523,7.466230392456055,4.6626,2.8679,2.6251,2.5073,2.3999,wylend ilsis finco shes.\nCCAg HHAUYE IgB ssta.% his hapmive th ou spired wing whe anta his al demyou
0.0006,1,64,32,32,4,"[1024, 86]",2.293076992034912,11.553861618041992,4.7087,2.7913,2.5765,2.4262,2.3294,"""I P-ed uonout?""\n""I iw sailens ofuEYew\not WmiGthikd im oue sod. to Nid Sey Yit,as.\nAfattor ay\npind o"
0.0006,1,64,32,32,6,"[1024, 86]",2.292570114135742,15.76862907409668,4.6378,2.7563,2.5610,2.3939,2.2728,"thasyery hent would, exr brra eeneed afer you the the na sen\nhains gef2e snem arte Gorse atingard. A"
0.0006,1,64,64,32,2,"[2048, 86]",2.402296543121338,7.827090263366699,4.6570,2.8579,2.6550,2.5632,2.4776,"bwaca A€ediusth sos owond anis oneI br pntcowly\nr ac ne vant sism fsat, wa ay 5g fovaemo s, Th lkini"
0.0006,1,64,64,32,4,"[2048, 86]",2.386409282684326,12.016564846038818,4.6500,2.7833,2.5945,2.5147,2.4372,"fung crell wor olear s, to. sled llenen, lye w tan ay. Na t Teauther the g G siee heal s ""\ncenoiscas"
0.0006,1,64,64,32,6,"[2048, 86]",2.333615779876709,16.379209995269775,4.6601,2.7278,2.5764,2.4707,2.3700,"Tut o bere and. TEFe ""THEACh\nE Iw TH\nTH\nEE ge TE SeloniskO8tht\nber.\nRe cK Th imal I\nifllle thevive.\n"
0.0006,1,64,128,32,2,"[4096, 86]",2.5315277576446533,8.50279974937439,4.6065,2.8255,2.6477,2.5679,2.5271,"hekavokerad and rof uth  snoraren ""\n""Y alass as tathemamamey y k danoop cok\nFoilla reie ibus,\nbonen"
0.0006,1,64,128,32,4,"[4096, 86]",2.469306230545044,12.506807088851929,4.6240,2.7754,2.6086,2.5416,2.4963,"shied aas unrour ckeang.""Whernt as Gxef sa aphevied Pe t thea latoinsowe thsawalorea\ns t dve\na te b"
0.0006,1,64,128,32,6,"[4096, 86]",2.455868721008301,16.64707589149475,4.6624,2.7581,2.5899,2.5187,2.4690,"kessat cal theeroff, a quhe(ary emy sowe hewive, ar\natitun s\nof uuw!\n""Chue watom ald nd The wsman ha"
0.0006,1,64,32,48,2,"[1536, 86]",2.351583242416382,9.36990213394165,4.6527,2.8928,2.6273,2.4708,2.3638,"tuon san we sandis, hoo as sh\ns,\nmatta cen and\ntpoutheamithenuthis wen\nwme tha iaceZas yomald, ""n ge"
0.0006,1,64,32,48,4,"[1536, 86]",2.216295003890991,13.804631233215332,4.5623,2.7520,2.5215,2.3548,2.2446,"pinged the tPy cing an ut, a do souerrye sand gaing to themised the rr frousr mifbal youghe watif Ci"
0.0006,1,64,32,48,6,"[1536, 86]",2.2178494930267334,18.758331537246704,4.5988,2.7322,2.5082,2.3437,2.2194,"CMAT5TER The AY. in T""RA pand Det lak oow whiseOoosould Lomle warred theke seluchey ba7\nwewes\nbeyu f"
0.0006,1,64,64,48,2,"[3072, 86]",2.4586379528045654,12.007609844207764,4.6405,2.8225,2.6134,2.5191,2.4171,wand eubstad slieroulnans Tuoks ar G igh I h the egh'ou accke whe se sauris lind en\nm are the the at
0.0006,1,64,64,48,4,"[3072, 86]",2.2858452796936035,13.992790937423706,4.6149,2.7773,2.5822,2.4655,2.3417,"Pht\ntharyrokithe est stllel asanthe er th youme,\nagely. k, fo ad. ""Ring he t ised ind hachout, thae"
0.0006,1,64,64,48,6,"[3072, 86]",2.3336775302886963,17.47519302368164,4.5924,2.7337,2.5510,2.4392,2.3090,"sn 3MEA– hio the Peredws, gaked hin tjeatts foth ma da tor t wice rat atet a fre che alommor the'san"
0.0006,1,64,128,48,2,"[6144, 86]",2.501457929611206,10.489937543869019,4.6106,2.8222,2.6466,2.5666,2.5233,"Villong fphee bin5 wins hilofint ca\nh haserouY\ns cak, hasswhexllle\nwio The thela ime bl t\nt t ay o t"
0.0006,1,64,128,48,4,"[6144, 86]",2.4503185749053955,15.04878282546997,4.6063,2.7686,2.5980,2.5237,2.4759,"s?"" ouent ayth oout w to4 mig I Tundie m jurtekrpueriorinnwad\ntofo\nof wie h The eetes\nNimal toustale"
0.0006,1,64,128,48,6,"[6144, 86]",2.392866611480713,20.47521209716797,4.5817,2.7275,2.5701,2.5057,2.4446,uit leolde ghackist.\nYa Yinghad\nex oudsuware pal. Grilais s the ctace thare ttr tostalyopl wheunerad
0.0006,1,64,32,64,2,"[2048, 86]",2.283771276473999,11.674651861190796,4.7019,2.8198,2.5791,2.4156,2.3196,"ws\nwhat, "" a biew cep enty andorheannd as\nmisnd thabe dit ay he\nHe orih smaps poveng\nthechee nor faâ"
0.0006,1,64,32,64,4,"[2048, 86]",2.219388961791992,22.29850935935974,4.6241,2.7512,2.5118,2.3409,2.2159,"SKE’ wfyout hames thew\nlelad\nta pattaly. TheI haciad lewas natka s.\n""Thitiderivmiding stokey ve goun"
0.0006,1,64,32,64,6,"[2048, 86]",2.226997137069702,28.146071672439575,4.5237,2.7129,2.4611,2.2939,2.1618,"nowd them. be, Ye lled on'ts cuth\nto sefored tuuonn of s rin'e nor witwing, sais\nbutaece tatrisandes"
0.0006,1,64,64,64,2,"[4096, 86]",2.3797459602355957,16.72046184539795,4.6423,2.8188,2.6087,2.5093,2.3994,"to wing"" The dlpeliinis t cam ook ske. led the thid ateer ureEdis 1eed red thisof ioor?""Fe. """" ""CHAE"
0.0006,1,64,64,64,4,"[4096, 86]",2.293365955352783,23.041416883468628,4.6634,2.7461,2.5713,2.4464,2.3061,"beakeatins this, and im he an then spend t feluarof e.\n""I bew derroorgs sGournan Bapen – townond san"
0.0006,1,64,64,64,6,"[4096, 86]",2.2210912704467773,30.406832695007324,4.6762,2.7414,2.5336,2.4001,2.2694,Grattent of co ar theiwwoutews A\nhand ante on natt lo trearvearen.\nThexs Idias iit adsmatin. Tind A
0.0006,1,64,128,64,2,"[8192, 86]",2.521616220474243,18.5006685256958,4.4836,2.7897,2.6304,2.5572,2.5123,"hiof\nat, te fa the cs acus ouscremachuf woulcere tesulur.\nhe astr, thiean d y oalate oul hid alesthe"
0.0006,1,64,128,64,4,"[8192, 86]",2.4477362632751465,25.376873254776,4.6446,2.7706,2.5869,2.5191,2.4686,"8""\nYus, wacow s had thas Y\nttano f ilented an hased hend thedr futtbend t,""€, ashtinde me s, acoungl"
0.0006,1,64,128,64,6,"[8192, 86]",2.354736328125,31.87300419807434,4.5279,2.7253,2.5641,2.4870,2.4121,"NGraatted sism An, TIf hat wat, hillell de. Grat t a gurant ag. ad ofurshtt thtoshio d isugacKaire f"
0.0006,2,128,32,32,2,"[1024, 86]",2.252521514892578,19.458006143569946,4.6412,2.6127,2.3584,2.2181,2.1176,"TU The cenertt tall cabloked aighil?""kh Yrons he weried hasouls buo hy\nhise bes. Yiond his bie?"" Eop"
0.0006,2,128,32,32,4,"[1024, 86]",2.074206590652466,28.827841997146606,4.6705,2.5824,2.3294,2.1710,2.0444,"bow them as hipled.\nGrah was frest for ave th a mit theperell tuoke sming was we Toure with avo s, t"
0.0006,2,128,32,32,6,"[1024, 86]",1.9288451671600342,36.34409046173096,4.6198,2.5510,2.3188,2.1399,1.9971,"theat. I nother buthem arcey.""\n23J Anayah so your\nPere Namand\npabled ardken and.\nAAs.\nShas rot ristu"
0.0006,2,128,64,32,2,"[2048, 86]",2.1425087451934814,15.914585590362549,4.6479,2.6222,2.4508,2.2778,2.1494,"Anad gs heir the ileng thive Pls wiingerd le infe th. Grattielia rice. Hes an smorsep. ""Toud\nto\nGrat"
0.0006,2,128,64,32,4,"[2048, 86]",2.091905355453491,24.75593113899231,4.5788,2.5664,2.4200,2.2331,2.0798,trand hily er to kis fred cuon the as sifelene.\nRech wank helo a sey Oecake uw\nRenepa sor corriad an
0.0006,2,128,64,32,6,"[2048, 86]",1.9992250204086304,32.81570768356323,4.5675,2.5577,2.3910,2.1793,2.0173,"ell fust. Ond ithtiman will hee hatult.\n""\nThet theim.\nAnd fourphad und to man sto Arphifdedn, Gratta"
0.0006,2,128,128,32,2,"[4096, 86]",2.3140642642974854,17.148255586624146,4.6305,2.6273,2.5161,2.4555,2.3670,"ce.\n""DEont t NMyah ned hat thef the Iref.© We thit gogem as tord, thadindyouke te Nou the s Zat bede"
0.0006,2,128,128,32,4,"[4096, 86]",2.1657018661499023,26.580191373825073,4.4925,2.5912,2.4874,2.4131,2.2725,"THE\nCYNad DUDou amed okerest ""I coyo4 pes fideft the asthirsos chimd anses, cip ffath\nh. Koedgousing"
